id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,station_lat,station_long,station_name,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,geocodes.drop_off.latitude,geocodes.drop_off.longitude,location.address_extended,geocodes.front_door.latitude,geocodes.front_door.longitude
Udq_JHX6-fh4jTAmpvsZNg,elefanté-montréal-2,Elefanté,https://s3-media3.fl.yelpcdn.com/bphoto/UH4ADpi4McvBAtOGiV5O4A/o.jpg,False,https://www.yelp.com/biz/elefant%C3%A9-montr%C3%A9al-2?adjust_creative=s4d59OFQ6_TSqbpb9iebkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=s4d59OFQ6_TSqbpb9iebkw,4.0,"[{'alias': 'italian', 'title': 'Italian'}]",10.0,[],,15148424242.0,+1 514-842-4242,350.2995019337387,45.50137391960642,-73.55919955583522,420 Rue Notre-Dame O,Local 5,,Montreal,H2Y 1V3,CA,QC,"['420 Rue Notre-Dame O', 'Local 5', 'Montreal, QC H2Y 1V3', 'Canada']",45.49837045828952,-73.56055587530136,Robert-Bourassa / St-Maurice,,,,,,,,,,,,,,,
7LGZNBNxWyUnTvjfW_XtGg,resto-keela-montréal,Resto Keela,https://s3-media1.fl.yelpcdn.com/bphoto/my7LuNaVnYjUvzPr-jkb7Q/o.jpg,False,https://www.yelp.com/biz/resto-keela-montr%C3%A9al?adjust_creative=s4d59OFQ6_TSqbpb9iebkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=s4d59OFQ6_TSqbpb9iebkw,11.0,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",10.0,[],,15145287617.0,+1 514-528-7617,231.18152985661183,45.516995,-73.5556896,1237 Rue Atateken,,,Montreal,H2L 3K9,CA,QC,"['1237 Rue Atateken', 'Montreal, QC H2L 3K9', 'Canada']",45.51625372636654,-73.55291748050148,Wolfe / de la Gauchetière,,,,,,,,,,,,,,,
0aB7ysivMclD4-ep7yyI3A,mama-khan-montréal-2,Mama Khan,https://s3-media4.fl.yelpcdn.com/bphoto/K7BffMznnfWaEYli4Bm0KA/o.jpg,False,https://www.yelp.com/biz/mama-khan-montr%C3%A9al-2?adjust_creative=s4d59OFQ6_TSqbpb9iebkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=s4d59OFQ6_TSqbpb9iebkw,7.0,"[{'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'halal', 'title': 'Halal'}]",10.0,[],,15148440000.0,+1 514-844-0000,443.9755970611279,45.521599,-73.577277,4135 Rue Saint Denis,,,Montreal,H2W 2M7,CA,QC,"['4135 Rue Saint Denis', 'Montreal, QC H2W 2M7', 'Canada']",45.52423612093815,-73.58155220746994,Métro Mont-Royal (Utilités publiques / Rivard),,,,,,,,,,,,,,,
Qupfar4Izf_l-QYVk2d6Mw,marché-al-amine-laval,Marché Al Amine,https://s3-media1.fl.yelpcdn.com/bphoto/_NIKS4pf8DQk4cAZeXwWkg/o.jpg,False,https://www.yelp.com/biz/march%C3%A9-al-amine-laval?adjust_creative=rxEwtUPnpw_V72NRngZy-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rxEwtUPnpw_V72NRngZy-g,1.0,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'meats', 'title': 'Meat Shops'}]",10.0,[],,14506675151.0,+1 450-667-5151,1195.3941355331715,45.572196,-73.694753,656 Boulevard des Laurentides,,,Laval,H7G 2V9,CA,QC,"['656 Boulevard des Laurentides', 'Laval, QC H7G 2V9', 'Canada']",45.58033485941123,-73.68471868336201,du Mans / des Alouettes,,,,,,,,,,,,,,,
STF9ssKzxzV1EgGL377IXw,bar-fullum-montréal-3,Bar Fullum,,False,https://www.yelp.com/biz/bar-fullum-montr%C3%A9al-3?adjust_creative=rxEwtUPnpw_V72NRngZy-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rxEwtUPnpw_V72NRngZy-g,1.0,"[{'alias': 'tapas', 'title': 'Tapas Bars'}]",10.0,[],,15145212046.0,+1 514-521-2046,656.9546723296369,45.53045,-73.5548,2300 Ontario Rue E,,,Montreal,H2K 1W1,CA,QC,"['2300 Ontario Rue E', 'Montreal, QC H2K 1W1', 'Canada']",45.53636263222538,-73.55421245098114,de Rouen / Hogan,,,,,,,,,,,,,,,
MMnGeUrHR6q2zllksmJQqw,bibiko-montréal,Bibiko,https://s3-media1.fl.yelpcdn.com/bphoto/j_FL6ThV5V0UDDoCANlsCg/o.jpg,False,https://www.yelp.com/biz/bibiko-montr%C3%A9al?adjust_creative=rxEwtUPnpw_V72NRngZy-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rxEwtUPnpw_V72NRngZy-g,8.0,"[{'alias': 'korean', 'title': 'Korean'}]",10.0,[],,15142702424.0,+1 514-270-2424,182.08577433643487,45.52639,-73.59886,31 Rue Saint Viateur E,,,Montreal,H2T 1A5,CA,QC,"['31 Rue Saint Viateur E', 'Montreal, QC H2T 1A5', 'Canada']",45.5276726466961,-73.59738260507582,de Gaspé / St-Viateur,,,,,,,,,,,,,,,
wtOimkwhJIGq7lAuCX9-pw,benny-and-co-laval-4,Benny&Co,https://s3-media4.fl.yelpcdn.com/bphoto/ExNjZC_cYvv7eKMwrxCH4Q/o.jpg,False,https://www.yelp.com/biz/benny-and-co-laval-4?adjust_creative=rxEwtUPnpw_V72NRngZy-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rxEwtUPnpw_V72NRngZy-g,1.0,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'poutineries', 'title': 'Poutineries'}]",10.0,[],,14503284999.0,+1 450-328-4999,442.9399620549187,45.5788,-73.6794668,1670 Boulevard de la Concorde E,,,Laval,H7G 2E7,CA,QC,"['1670 Boulevard de la Concorde E', 'Laval, QC H7G 2E7', 'Canada']",45.58033485941123,-73.68471868336201,du Mans / des Alouettes,,,,,,,,,,,,,,,
1PiudN1F0PwiRbkiDGqf6A,seiyuan-restaurant-montréal-2,Seiyuan Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/lkB-3Ne_fEFFX8NeORcIeQ/o.jpg,False,https://www.yelp.com/biz/seiyuan-restaurant-montr%C3%A9al-2?adjust_creative=4AYHKPq3dEBTFlcXecT-WA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4AYHKPq3dEBTFlcXecT-WA,1.0,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'poke', 'title': 'Poke'}]",10.0,['restaurant_reservation'],,14382398618.0,+1 438-239-8618,69.06352828809499,45.507094,-73.55231,143 Rue de la Commune E,,,Montreal,H2Y 1J1,CA,QC,"['143 Rue de la Commune E', 'Montreal, QC H2Y 1J1', 'Canada']",45.50761009451047,-73.55183601379395,de la Commune / Place Jacques-Cartier,,,,,,,,,,,,,,,
bNwGMX0EoydSUCkiWk21bw,chez-anna-montréal-4,Chez Anna,https://s3-media3.fl.yelpcdn.com/bphoto/1O9sGSyg2liZs_BaH61LKQ/o.jpg,False,https://www.yelp.com/biz/chez-anna-montr%C3%A9al-4?adjust_creative=4AYHKPq3dEBTFlcXecT-WA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4AYHKPq3dEBTFlcXecT-WA,6.0,"[{'alias': 'hungarian', 'title': 'Hungarian'}]",10.0,[],,14388716586.0,+1 438-871-6586,569.4804089926513,45.5176634,-73.57863583155607,68 Avenue Duluth E,,,Montreal,H2W 1G8,CA,QC,"['68 Avenue Duluth E', 'Montreal, QC H2W 1G8', 'Canada']",45.5148664330228,-73.58475860237377,Parc Jeanne-Mance (monument à sir George-Étienne Cartier),,,,,,,,,,,,,,,
aO5TSvbC-KmPVrEgX_nQ3g,lilys-montréal-2,Lily's,https://s3-media2.fl.yelpcdn.com/bphoto/ouj8wM2XUb9aK_BuT12YRg/o.jpg,False,https://www.yelp.com/biz/lilys-montr%C3%A9al-2?adjust_creative=BolX2q2f3YTuculokD_PGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BolX2q2f3YTuculokD_PGw,1.0,"[{'alias': 'french', 'title': 'French'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",10.0,[],,15148856749.0,+1 514-885-6749,615.2932528541908,45.52037,-73.55483,1371 Rue Sainte-Catherine E,,,Montreal,H2L 2H7,CA,QC,"['1371 Rue Sainte-Catherine E', 'Montreal, QC H2L 2H7', 'Canada']",45.52359493664824,-73.56099039316177,Plessis / Ontario,,,,,,,,,,,,,,,
